Don Bragg	USA 
Herman Brix	USA 
Buster Crabbe	USA 
Eleanor Holm	USA 
Glenn Morris	USA 
Johnny Weissmuller	USA 
Suzie Bates	NZL 
Sunette Viljoen	RSA 
Janne Ahonen	FIN 
Simon Ammann	SUI 
Hans-Georg Aschenbach	GDR 
Anders Bardal	NOR 
Espen Bredesen	NOR 
Lars Bystøl	NOR 
Roberto Cecon	ITA 
Jernej Damjan	SLO 
Markus Eisenbichler	GER 
Johan Remen Evensen	NOR 
Anders Fannemel	NOR 
Andreas Felder	AUT 
Manuel Fettner	AUT 
Ole Gunnar Fidjestøl	NOR 
Piotr Fijas	POL 
Johann André Forfang	NOR 
Urban Franc	SLO 
Richard Freitag	GER 
Severin Freund	GER 
Kazuyoshi Funaki	JPN 
Karl Geiger	GER 
Henry Glaß	GDR 
Andi Goldberger	AUT 
Sven Hannawald	GER 
Janne Happonen	FIN 
Matti Hautamäki	FIN 
Michael Hayböck	AUT 
Alexander Herr	GER 
Tom Hilde	NOR 
Stefan Hula	POL 
Tommy Ingebrigtsen	NOR 
Toni Innauer	AUT 
Anders Jacobsen	NOR 
Robert Johansson	NOR 
Noriaki Kasai	JPN 
Tami Kiuru	FIN 
Martin Koch	AUT 
Karel Kodejška	TCH 
Andreas Kofler	AUT 
Armin Kogler	AUT 
Stefan Kraft	AUT 
Robert Kranjec	SLO 
Dawid Kubacki	POL 
Stephan Leyhe	GER 
Veli-Matti Lindström	FIN 
Roar Ljøkelsøy	NOR 
Wolfgang Loitzl	AUT 
Thomas Morgenstern	AUT 
Olli Muotka	FIN 
Michael Neumayer	GER 
Matti Nykänen	FIN 
Harri Olli	FIN 
Klaus Ostwald	GDR 
Sigurd Pettersen	NOR 
Pavel Ploc	TCH 
Peter Prevc	SLO 
Jari Puikkonen	FIN 
Jiří Raška	TCH 
Bjørn Einar Romøren	NOR 
Jaroslav Sakala	CZE 
Gregor Schlierenzauer	AUT 
Rainer Schmidt	GDR 
Martin Schmitt	GER 
Karl Schnabl	AUT 
Anže Semenič	SLO 
Georg Späth	GER 
Walter Steiner	SUI 
Andreas Stjernen	NOR 
Kamil Stoch	POL 
Daniel-André Tande	NOR 
Jurij Tepeš	SLO 
Dieter Thoma	GER 
Michael Uhrmann	GER 
Primož Ulaga	YUG 
Rune Velta	NOR 
Andreas Wank	GER 
Jens Weißflog	GDR 
Andreas Wellinger	GER 
Andreas Widhölzl	AUT 
Heinz Wosipiwo	GDR 
Piotr Żyła	POL 
Michael Bates	USA 
Jim Bausch	USA 
Jahvid Best	LCA 
Ron Brown	USA 
Frank Budd	USA 
Larry Burton	USA 
Sol Butler	USA 
Milt Campbell	USA 
Henry Carr	USA 
Mike Carter	USA 
Ray Clemons	USA 
Glenn Davis	USA 
Randy Dean	USA 
