immigration,ill,son,har,cha,ber,ell,lli,mar,ard,and
Greek,ios,ris,oul,los,sta,nis,ant,dis,lis,pou
European,and,mar,ber,ann,ich,man,ale,ran,ndr,sch
CelticEnglish,ill,har,lli,cha,joh,ohn,ard,son,wil,ton
EastAsian,shi,ang,aka,ong,chi,tsu,han,osh,hir,tak
Muslim,ham,ali,moh,med,oha,ahm,mad,amm,abd,kha
Hispanic,mar,and,car,ant,jos,ber,ard,ari,ran,osé
SouthAsian,han,ara,har,and,sha,cha,ana,ing,sin,ram
Nordic,sen,and,han,ber,ris,ist,ste,sta,rik,ing
Jewish,man,avi,sha,ron,cha,she,ami,har,dan,aha
African,man,ama,mar,cha,and,ang,ola,ham,ali,ani
Others,rao,ogo,oré,ara,ama,son,san,ell,dou,ssa
Oceania,son,mar,ill,ton,man,lli,lia,har,cha,and
